Bin,"Bin name","Base Ma","Midpoint Ma","Sampled genera","Range-through genera","Boundary-crosser genera","3T origination rate","3T extinction rate","Good's u","Three timer sampling stat","Three timer diversity estimate",Collections,Occurrences
49,"Cenozoic 6",11.6,5.8,1316,1316,734,NA,NA,0.967,NA,NA,1379,15814
48,"Cenozoic 5",23.0,17.3,915,1061,639,1.232,0.525,0.901,0.841,1087.6,474,5328
47,"Cenozoic 4",33.9,28.5,470,776,596,0.849,0.516,0.900,0.696,675.1,326,2582
46,"Cenozoic 3",40.4,37.1,471,761,587,0.997,0.741,0.837,0.791,595.7,210,1696
45,"Cenozoic 2",55.8,48.1,299,666,548,0.741,0.697,0.763,0.537,557.0,108,760
44,"Cenozoic 1",65.5,60.6,660,827,477,1.117,1.383,0.831,0.848,778.2,194,2038
43,"Cretaceous 8",70.6,68.0,524,743,566,1.099,1.234,0.854,0.767,683.0,175,2045
42,"Cretaceous 7",83.5,77.0,561,842,637,0.767,0.927,0.871,0.747,750.6,210,2218
41,"Cretaceous 6",93.5,88.5,582,854,572,1.087,0.762,0.870,0.776,750.3,725,2905
40,"Cretaceous 5",99.6,96.5,431,722,558,0.973,0.818,0.844,0.731,589.3,231,1570
39,"Cretaceous 4",112.0,105.8,424,736,546,1.046,0.848,0.810,0.703,603.4,242,1393
38,"Cretaceous 3",125.5,118.7,312,662,555,0.848,0.848,0.849,0.736,424.0,208,1119
37,"Cretaceous 2",136.4,130.9,358,705,533,1.127,0.852,0.884,0.694,515.8,419,1893
36,"Cretaceous 1",145.5,140.9,366,726,535,0.818,1.101,0.745,0.622,588.0,180,955
35,"Jurassic 6",150.8,148.2,564,835,619,0.530,1.377,0.874,0.788,715.4,230,2427
34,"Jurassic 5",164.7,157.8,962,1091,590,0.972,1.080,0.967,0.931,1033.3,1316,12358
33,"Jurassic 4",171.6,168.1,593,782,421,1.458,0.495,0.929,0.771,769.3,605,4431
32,"Jurassic 3",183.0,177.3,302,541,406,0.942,0.818,0.943,0.710,425.4,566,2866
31,"Jurassic 2",189.6,186.3,333,564,412,0.686,0.853,0.957,0.743,448.1,563,4161
30,"Jurassic 1",201.6,195.6,319,502,332,1.013,0.855,0.922,0.719,443.8,315,2556
29,"Triassic 4",221.5,211.6,718,838,515,0.978,1.861,0.933,0.884,812.2,934,5310
28,"Triassic 3",235.0,228.2,636,818,486,0.830,0.719,0.903,0.740,859.2,384,2960
27,"Triassic 2",247.2,241.1,618,740,315,1.783,0.842,0.932,0.868,712.3,769,4396
26,"Triassic 1",252.3,249.8,330,520,299,1.135,1.085,0.939,0.454,727.5,725,2638
25,"Permian 4",259.0,255.7,905,1009,704,0.775,2.372,0.965,0.896,1010.6,2135,12081
24,"Permian 3",272.5,265.8,1161,1325,886,0.717,0.863,0.951,0.853,1360.7,2100,10549
23,"Permian 2",290.1,281.3,992,1255,796,1.025,0.701,0.951,0.795,1248.4,1480,9314
22,"Permian 1",298.9,294.5,652,949,629,1.189,0.478,0.917,0.841,775.2,1010,3992
21,"Carboniferous 5",306.9,302.9,287,663,551,0.924,0.459,0.867,0.587,489.3,203,1335
20,"Carboniferous 4",318.1,312.5,450,728,473,1.002,1.086,0.867,0.762,590.2,337,2031
19,"Carboniferous 3",336.0,327.1,369,615,508,0.506,1.014,0.931,0.741,497.6,246,2867
18,"Carboniferous 2",345.3,340.6,508,677,444,0.838,0.764,0.912,0.850,597.9,387,2925
17,"Carboniferous 1",360.7,353.0,446,618,348,1.681,0.877,0.882,0.788,566.1,282,2225
16,"Devonian 5",376.1,368.4,278,507,350,1.532,1.306,0.768,0.519,535.4,163,859
15,"Devonian 4",383.7,379.9,376,595,462,0.651,1.750,0.933,0.650,578.5,445,3070
14,"Devonian 3",391.9,387.8,976,1090,599,0.991,1.238,0.942,0.957,1020.0,883,8257
13,"Devonian 2",409.1,400.5,532,823,575,0.917,0.799,0.780,0.586,907.5,268,1616
12,"Devonian 1",416.0,412.6,706,892,471,1.148,1.148,0.894,0.864,817.1,484,3649
11,"Silurian 2",428.2,422.1,1025,1117,551,0.994,1.277,0.915,0.926,1106.3,594,6545
10,"Silurian 1",443.7,435.9,537,723,397,1.351,0.646,0.913,0.582,922.5,515,3293
9,"Ordovician 5",449.5,446.6,769,884,631,0.672,1.743,0.937,0.750,1025.3,880,5962
8,"Ordovician 4",460.9,455.2,1212,1262,412,1.502,0.914,0.971,0.890,1362.5,1837,18875
7,"Ordovician 3",466.0,463.4,491,600,302,1.237,0.801,0.791,0.571,860.4,167,1292
6,"Ordovician 2",478.6,472.3,530,570,199,1.361,1.227,0.912,0.800,662.5,639,3149
5,"Ordovician 1",488.3,483.5,394,408,84,2.683,1.850,0.881,0.824,478.4,463,1798
4,"Cambrian 4",501.0,494.6,371,383,60,2.880,2.504,0.891,0.833,445.2,419,1879
3,"Cambrian 3",513.0,507.0,380,389,124,1.811,2.718,0.834,0.833,456.0,373,1505
2,"Cambrian 2",530.0,521.5,787,788,36,2.718,1.537,0.939,0.909,865.7,687,6913
1,"Cambrian 1",542.0,536.0,43,43,0,NA,NA,0.900,NA,NA,42,209
