Bin,Bin name,Base (Ma),Midpoint (Ma),Collections sampled,Mean sampled diversity,3T origination rate,3T extinction rate
49,Cenozoic 6,11.6,5.8,41.8,354.8,NA,NA
48,Cenozoic 5,23.0,17.3,50.6,360.8,0.307,0.003
47,Cenozoic 4,33.9,28.5,37.0,224.9,0.154,-0.091
46,Cenozoic 3,40.4,37.1,35.1,243.0,0.094,0.232
45,Cenozoic 2,55.8,48.1,35.7,224.0,0.303,-0.049
44,Cenozoic 1,65.5,60.6,39.8,189.9,1.067,0.093
43,Cretaceous 8,70.6,68.0,11.8,85.8,-0.068,0.473
42,Cretaceous 7,83.5,77.0,42.4,152.9,0.322,0.441
41,Cretaceous 6,93.5,88.5,81.7,179.1,0.462,0.124
40,Cretaceous 5,99.6,96.5,47.1,134.1,0.153,0.263
39,Cretaceous 4,112.0,105.8,65.1,176.4,0.391,0.723
38,Cretaceous 3,125.5,118.7,96.3,253.8,0.567,0.483
37,Cretaceous 2,136.4,130.9,103.7,167.0,0.658,0.203
36,Cretaceous 1,145.5,140.9,86.9,129.4,0.900,0.277
35,Jurassic 6,150.8,148.2,14.5,48.1,-0.182,0.244
34,Jurassic 5,164.7,157.8,34.5,123.2,-0.028,0.478
33,Jurassic 4,171.6,168.1,44.5,107.7,0.431,-0.170
32,Jurassic 3,183.0,177.3,61.1,109.2,0.520,0.225
31,Jurassic 2,189.6,186.3,30.2,62.7,-0.177,0.271
30,Jurassic 1,201.6,195.6,75.3,134.8,0.457,0.512
29,Triassic 4,221.5,211.6,74.3,113.9,0.104,0.190
28,Triassic 3,235.0,228.2,99.4,133.2,0.916,0.718
27,Triassic 2,247.2,241.1,76.6,150.8,1.028,0.365
26,Triassic 1,252.3,249.8,67.6,93.7,1.110,0.646
25,Permian 4,259.0,255.7,78.9,185.3,0.733,2.647
24,Permian 3,272.5,265.8,141.0,227.4,0.347,0.527
23,Permian 2,290.1,281.3,150.6,197.9,0.417,0.160
22,Permian 1,298.9,294.5,75.4,144.2,1.107,0.661
21,Carboniferous 5,306.9,302.9,41.4,100.7,-0.063,0.192
20,Carboniferous 4,318.1,312.5,147.1,348.9,0.690,0.774
19,Carboniferous 3,336.0,327.1,29.3,88.0,0.501,-0.084
18,Carboniferous 2,345.3,340.6,18.1,124.1,0.096,0.719
17,Carboniferous 1,360.7,353.0,60.7,177.5,0.747,0.247
16,Devonian 5,376.1,368.4,29.2,74.6,0.797,0.033
15,Devonian 4,383.7,379.9,16.2,31.7,-0.123,0.146
14,Devonian 3,391.9,387.8,22.7,86.8,0.254,0.786
13,Devonian 2,409.1,400.5,41.3,187.2,-0.020,0.732
12,Devonian 1,416.0,412.6,55.5,214.0,0.496,0.419
11,Silurian 2,428.2,422.1,43.0,188.7,0.693,0.132
10,Silurian 1,443.7,435.9,30.5,97.7,0.657,0.413
9,Ordovician 5,449.5,446.6,47.3,182.1,0.083,1.142
8,Ordovician 4,460.9,455.2,65.6,297.1,0.800,0.593
7,Ordovician 3,466.0,463.4,61.4,163.0,0.674,0.233
6,Ordovician 2,478.6,472.3,71.5,184.8,1.426,0.946
5,Ordovician 1,488.3,483.5,51.2,100.0,1.564,0.886
4,Cambrian 4,501.0,494.6,45.4,99.1,1.468,1.617
3,Cambrian 3,513.0,507.0,52.7,142.0,1.557,1.206
2,Cambrian 2,530.0,521.5,39.2,109.6,NA,NA
1,Cambrian 1,542.0,536.0,0.0,NA,NA,NA
